I_U,T_INT,seed,nodes_completed,sim_duration_s,total_survey_time_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.050,3.000,0,30,89.000,89.000,2176.440,15.000,50.100,20.320,8.720,
0.050,3.500,0,30,92.000,92.000,2177.320,17.500,53.700,22.270,8.500,
0.050,4.000,0,30,117.000,117.000,2183.060,20.000,59.600,27.280,8.690,
0.050,4.500,0,30,127.000,127.000,2156.890,22.500,64.100,29.860,8.580,
0.050,5.000,0,30,138.000,138.000,2177.790,25.000,70.400,33.860,8.610,
0.050,5.500,0,30,142.000,142.000,2191.530,27.500,70.800,37.120,8.520,
0.050,6.000,0,30,151.000,151.000,2139.060,30.000,74.100,39.300,8.440,
0.050,6.500,0,30,148.000,148.000,2142.840,32.500,79.200,41.680,8.480,
0.050,7.000,0,30,145.000,145.000,2098.020,35.000,85.700,44.340,8.340,
0.060,3.000,0,30,89.000,89.000,2176.440,15.000,50.100,20.320,8.670,
0.060,3.500,0,30,92.000,92.000,2177.320,17.500,53.700,22.270,7.800,
0.060,4.000,0,30,117.000,117.000,2183.060,20.000,59.600,27.280,7.740,
0.060,4.500,0,30,127.000,127.000,2156.890,22.500,64.100,29.860,7.720,
0.060,5.000,0,30,138.000,138.000,2177.790,25.000,70.400,33.860,7.600,
0.060,5.500,0,30,142.000,142.000,2191.530,27.500,70.800,37.120,8.000,
0.060,6.000,0,30,151.000,151.000,2139.060,30.000,74.100,39.300,7.790,
0.060,6.500,0,30,148.000,148.000,2142.840,32.500,79.200,41.680,7.850,
0.060,7.000,0,30,145.000,145.000,2098.020,35.000,85.700,44.340,7.670,
0.070,3.000,0,30,89.000,89.000,2176.440,15.000,50.100,20.320,7.790,
0.070,3.500,0,30,92.000,92.000,2177.320,17.500,53.700,22.270,7.690,
0.070,4.000,0,30,117.000,117.000,2183.060,20.000,59.600,27.280,8.330,
0.070,4.500,0,30,127.000,127.000,2156.890,22.500,64.100,29.860,7.750,
0.070,5.000,0,30,138.000,138.000,2177.790,25.000,70.400,33.860,7.940,
0.070,5.500,0,30,142.000,142.000,2191.530,27.500,70.800,37.120,7.900,
